"Commodity Code","Crop Name","Group_name"
181999,"HAY ALFALFA","Alfalfa"
172119,"SEED ALFALFA","Alfalfa"
161741,"BEANS BLACKEYE (PEAS)","All Other"
169999,"BEANS DRY EDIBLE UNSPEC.","All Other"
162399,"BEANS FAVA","All Other"
161742,"BEANS GARBANZO","All Other"
161717,"BEANS KIDNEY RED","All Other"
161131,"BEANS LIMA LG. DRY","All Other"
161199,"BEANS LIMA UNSPECIFIED","All Other"
161721,"BEANS PINK","All Other"
171619,"BEANS SEED","All Other"
163999,"PEAS DRY EDIBLE","All Other"
171119,"CORN SEED","All Other"
106269,"FIELD CROP BY-PRODUCTS","All Other"
171949,"FIELD CROPS SEED MISC.","All Other"
153999,"PEANUTS ALL","All Other"
171639,"PEAS SEED","All Other"
171582,"SAFFLOWER SEED PLANTING","All Other"
173079,"SEED BERMUDA GRASS","All Other"
172289,"SEED CLOVER UNSPECIFIED","All Other"
173999,"SEED GRASS UNSPECIFIED","All Other"
178999,"SEED OTHER (NO FLOWERS)","All Other"
173669,"SEED SUDAN GRASS","All Other"
158316,"SUNFLOWER SEED PLANTING","All Other"
113995,"BARLEY FEED","All Other"
171139,"BARLEY SEED","All Other"
113999,"BARLEY UNSPECIFIED","All Other"
112999,"OATS GRAIN","All Other"
171129,"OATS SEED","All Other"
104999,"RYE GRAIN","All Other"
171049,"RYE SEED","All Other"
101999,"WHEAT ALL","All Other"
171019,"WHEAT SEED","All Other"
106199,"RICE MILLING","All Other"
171069,"RICE SEED","All Other"
158269,"SAFFLOWER","All Other"
132999,"SBEETS","All Other"
161132,"BEANS LIMA BABY DRY","All Other"
111998,"CORN CRAZY","All Other"
171959,"SEED VEG & VINECROP","All Other"
188799,"HAY WILD","All Other"
188899,"HAY SUDAN","All Other"
188999,"HAY OTHER UNSPECIFIED","All Other"
192999,"CORN POPCORN","All Other"
194599,"PASTR IRRIGATED","All Other"
194799,"PASTR FORAGE MISC.","All Other"
195299,"HAY GREEN CHOP","All Other"
195399,"STRAW","All Other"
198199,"RICE WILD","All Other"
198999,"FIELD CROPS UNSPECIFIED","All Other"
230639,"BERRIES BLACKBERRIES","All Other"
230869,"BERRIES BOYSENBERRIES","All Other"
236199,"BERRIES RASPBERRIES","All Other"
237199,"BERRIES STRAWBERRIES F MKT","All Other"
237299,"BERRIES STRAWBERRIES PROC.","All Other"
237999,"BERRIES STRAWBERRIES UNSPEC","All Other"
238199,"BERRIES BLUEBERRIES","All Other"
239999,"BERRIES BUSHBERRIES UNSPEC.","All Other"
301999,"ARTICHOKES","All Other"
171929,"CORN POPCORN SEED","All Other"
302199,"ASPARAGUS FRESH MARKET","All Other"
302299,"ASPARAGUS PROCESSING","All Other"
302999,"ASPARAGUS UNSPECIFIED","All Other"
303999,"BEANS LIMA GREEN","All Other"
304199,"BEANS SNAP FRESH MARKET","All Other"
304399,"BEANS FRESH UNSPECIFIED","All Other"
304999,"BEANS SNAP UNSPECIFIED","All Other"
305999,"BEETS GARDEN","All Other"
362999,"PEAS COWPEA & BLACKEYE","All Other"
361199,"PEAS GREEN FRESH MARKET","All Other"
361299,"PEAS GREEN PROCESSING","All Other"
306999,"RAPPINI","All Other"
158319,"SUNFLOWER SEED","All Other"
307189,"BROCCOLI FOOD SERVICE","All Other"
307199,"BROCCOLI FRESH MARKET","All Other"
307299,"BROCCOLI PROCESSING","All Other"
307919,"BROCCOLI UNSPECIFIED","All Other"
308999,"BRUSSELS SPROUTS","All Other"
309999,"CABBAGE CH. & SPECIALTY","All Other"
310999,"CABBAGE HEAD","All Other"
313189,"CARROTS FOOD SERVICE","All Other"
313199,"CARROTS FRESH MARKET","All Other"
